SATNUM,CASE,a,b,poro_ref,perm_ref,swirr,drho,sorw,sorg,sgcr,krwend,krgend,kroend,Lw,Ew,Tw,Lo,Eo,To,Lg,Eg,Tg,Log,Eog,Tog,swl,swcr,COMMENT
1,low,4.5,-2.2,0.24,1050,0.0,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.02056009894398894,0.030560098943988943,Channel_upper
2,low,6.5,-3.3,0.22,100,0.0,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.11823456018904314,0.12823456018904314,Crevasse_upper
3,low,4.5,-2.2,0.31,1200,0.0,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.02114008254649349,0.03114008254649349,Uppershoreface_upper
4,low,6.5,-3.3,0.23,40,0.1,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.2230852221640996,0.2330852221640996,Lowershoreface_upper
5,low,25.0,-6.0,0.1,2,0.2,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.6014666567623834,0.6114666567623834,Offshore_upper
6,low,30.0,-6.0,0.13,1,0.2,289.99999999999994,0.1,0.1,0.05,0.99,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.6481541971014622,0.6581541971014622,Floodplain_upper
7,low,4.5,-2.2,0.24,1050,0.0,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.02056009894398894,0.030560098943988943,Channel_lower
8,low,6.5,-3.3,0.22,100,0.0,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.11823456018904314,0.12823456018904314,Crevasse_lower
9,low,4.5,-2.2,0.31,1200,0.0,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.02114008254649349,0.03114008254649349,Uppershoreface_lower
10,low,6.5,-3.3,0.23,40,0.1,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.2230852221640996,0.2330852221640996,Lowershoreface_lower
11,low,25.0,-6.0,0.1,2,0.2,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.6014666567623834,0.6114666567623834,Offshore_lower
12,low,30.0,-6.0,0.13,1,0.2,289.99999999999994,0.1,0.1,0.05,0.75,0.95,1.0,1.8,1.9,1.4,4.2,5.5,1.0,1.0,1.3,1.3,4.8,3.0,0.8,0.6481541971014622,0.6581541971014622,Floodplain_lower
1,base,4.5,-2.2,0.24,1050,0.0,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.02056009894398894,0.030560098943988943,Channel_upper
2,base,6.5,-3.3,0.22,100,0.0,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.11823456018904314,0.12823456018904314,Crevasse_upper
3,base,4.5,-2.2,0.31,1200,0.0,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.02114008254649349,0.03114008254649349,Uppershoreface_upper
4,base,6.5,-3.3,0.23,40,0.1,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.2230852221640996,0.2330852221640996,Lowershoreface_upper
5,base,25.0,-6.0,0.1,2,0.2,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.6014666567623834,0.6114666567623834,Offshore_upper
6,base,30.0,-6.0,0.13,1,0.2,289.99999999999994,0.15,0.1,0.05,0.9,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.6481541971014622,0.6581541971014622,Floodplain_upper
7,base,4.5,-2.2,0.24,1050,0.0,289.99999999999994,0.15,0.1,0.05,0.5,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.02056009894398894,0.030560098943988943,Channel_lower
8,base,6.5,-3.3,0.22,100,0.0,289.99999999999994,0.15,0.1,0.05,0.5,0.95,1.0,2.4,3.2,1.2,3.7,2.4,1.2,2.4,1.6,1.1,3.9,1.8,1.0,0.11823456018904314,0.12823456018904314,Crevasse_lower
