,ENSEMBLE,REAL,ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
0,iter-0,0,UpperReek,1,267456838.14,37329041.88,25145518.67,15814791.35
1,iter-0,0,UpperReek,2,0.0,0.0,0.0,0.0
2,iter-0,0,MidReek,1,215299869.26,40898700.18,31980060.63,20113245.35
3,iter-0,0,MidReek,2,0.0,0.0,0.0,0.0
4,iter-0,0,LowerReek,1,104775255.72,22087138.02,17875730.78,11242597.78
5,iter-0,0,LowerReek,2,0.0,0.0,0.0,0.0
6,iter-0,1,UpperReek,1,256034227.05,39137312.35,27641428.75,17384546.1
7,iter-0,1,UpperReek,2,0.0,0.0,0.0,0.0
8,iter-0,1,MidReek,1,213395961.97,34524716.04,24450328.6,15377564.9
9,iter-0,1,MidReek,2,0.0,0.0,0.0,0.0
10,iter-0,1,LowerReek,1,110084094.69,18463044.86,13380050.61,8415126.03
11,iter-0,1,LowerReek,2,0.0,0.0,0.0,0.0
12,iter-0,2,UpperReek,1,269138773.58,40067923.49,29145686.63,18330620.21
13,iter-0,2,UpperReek,2,0.0,0.0,0.0,0.0
14,iter-0,2,MidReek,1,199867702.6,38397116.59,30675947.69,19293048.54
15,iter-0,2,MidReek,2,0.0,0.0,0.0,0.0
16,iter-0,2,LowerReek,1,128095055.27,24033171.77,19177390.46,12061251.66
17,iter-0,2,LowerReek,2,0.0,0.0,0.0,0.0
18,iter-0,3,UpperReek,1,253950152.72,40601128.67,31120944.17,19572920.54
19,iter-0,3,UpperReek,2,0.0,0.0,0.0,0.0
20,iter-0,3,MidReek,1,217096707.08,38992525.39,29872857.99,18787960.69
21,iter-0,3,MidReek,2,0.0,0.0,0.0,0.0
22,iter-0,3,LowerReek,1,144677971.44,28869642.28,23152045.83,14561034.87
23,iter-0,3,LowerReek,2,0.0,0.0,0.0,0.0
24,iter-0,4,UpperReek,1,266715285.02,40810635.37,28807740.5,18118075.48
25,iter-0,4,UpperReek,2,0.0,0.0,0.0,0.0
26,iter-0,4,MidReek,1,205339061.63,35494591.85,26786531.25,16846874.72
27,iter-0,4,MidReek,2,0.0,0.0,0.0,0.0
28,iter-0,4,LowerReek,1,112175146.32,21367935.47,16799495.14,10565720.04
29,iter-0,4,LowerReek,2,0.0,0.0,0.0,0.0
30,iter-0,5,UpperReek,1,292205976.81,41511180.42,28946080.44,18205081.74
31,iter-0,5,UpperReek,2,0.0,0.0,0.0,0.0
32,iter-0,5,MidReek,1,228529047.26,38100396.59,28901770.99,18177214.16
33,iter-0,5,MidReek,2,0.0,0.0,0.0,0.0
34,iter-0,5,LowerReek,1,148951011.49,26972844.19,20418605.23,12841889.86
35,iter-0,5,LowerReek,2,0.0,0.0,0.0,0.0
36,iter-0,6,UpperReek,1,288955540.19,46682136.53,35237660.66,22162050.36
37,iter-0,6,UpperReek,2,0.0,0.0,0.0,0.0
38,iter-0,6,MidReek,1,204598256.34,37404108.56,29688017.97,18671709.1
39,iter-0,6,MidReek,2,0.0,0.0,0.0,0.0
40,iter-0,6,LowerReek,1,138939572.62,25685007.11,19622340.07,12341094.18
41,iter-0,6,LowerReek,2,0.0,0.0,0.0,0.0
42,iter-0,7,UpperReek,1,304965175.92,45040325.68,31926249.64,20079401.95
43,iter-0,7,UpperReek,2,0.0,0.0,0.0,0.0
44,iter-0,7,MidReek,1,193732117.01,32270095.73,23253214.9,14624663.21
45,iter-0,7,MidReek,2,0.0,0.0,0.0,0.0
46,iter-0,7,LowerReek,1,114829725.08,20844015.1,16033146.93,10083740.04
47,iter-0,7,LowerReek,2,0.0,0.0,0.0,0.0
48,iter-0,8,UpperReek,1,306132732.09,48603322.1,35037695.74,22036286.26
49,iter-0,8,UpperReek,2,0.0,0.0,0.0,0.0
50,iter-0,8,MidReek,1,269372384.07,48684708.89,38167518.91,24004728.48
51,iter-0,8,MidReek,2,0.0,0.0,0.0,0.0
52,iter-0,8,LowerReek,1,132348544.34,27965861.53,23124307.73,14543589.53
53,iter-0,8,LowerReek,2,0.0,0.0,0.0,0.0
54,iter-0,9,UpperReek,1,260081862.34,37645650.92,26645718.67,16758313.35
55,iter-0,9,UpperReek,2,0.0,0.0,0.0,0.0
56,iter-0,9,MidReek,1,242567392.91,44931315.12,34768055.79,21866701.39
57,iter-0,9,MidReek,2,0.0,0.0,0.0,0.0
58,iter-0,9,LowerReek,1,132275508.44,26567317.53,21563245.03,13561789.1
59,iter-0,9,LowerReek,2,0.0,0.0,0.0,0.0
60,iter-0,10,UpperReek,1,293200882.14,47884765.92,36868639.56,23187823.24
61,iter-0,10,UpperReek,2,0.0,0.0,0.0,0.0
62,iter-0,10,MidReek,1,225115580.89,36730946.38,26992843.49,16976630.84
63,iter-0,10,MidReek,2,0.0,0.0,0.0,0.0
64,iter-0,10,LowerReek,1,131494714.05,23167187.93,17673518.78,11115420.44
65,iter-0,10,LowerReek,2,0.0,0.0,0.0,0.0
66,iter-0,11,UpperReek,1,291432743.78,45432826.68,32165025.94,20229575.72
67,iter-0,11,UpperReek,2,0.0,0.0,0.0,0.0
68,iter-0,11,MidReek,1,243633302.79,41915062.25,31625891.82,19890497.67
69,iter-0,11,MidReek,2,0.0,0.0,0.0,0.0
70,iter-0,11,LowerReek,1,115061793.16,21504228.3,16133314.42,10146738.46
71,iter-0,11,LowerReek,2,0.0,0.0,0.0,0.0
72,iter-0,12,UpperReek,1,321765364.28,50560641.17,37721925.96,23724481.34
73,iter-0,12,UpperReek,2,0.0,0.0,0.0,0.0
74,iter-0,12,MidReek,1,260359943.77,46816438.21,37535328.77,23607124.61
75,iter-0,12,MidReek,2,0.0,0.0,0.0,0.0
